Global Seamount Database from Kim, S.-S., and P. Wessel (2011), Geophys. J. Int., in revision.
This file contains 24,646 potential seamounts from the entire ocean basins.
The columns are:
Col 1: Longitude (-180/+180). Center of each seamount (in degrees)
Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
Col 3: Estimated azimuth of the basal ellipse (in degree)
Col 4: Estimated major axis of the basal ellipse of each seamount (in km)
Col 5: Estimated minor axis of the basal ellipse of each seamount (in km)
Col 6: Seamount height obtained from the prediced bathymetry TOPO V12 (in m)
Col 7: Maximum amplitude of the Free-Air Gravity Anomaly (in mGal)
Col 8: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
Col 9: Regional depth of each seamount (in m)
Col 10: Age of underlying seafloor from the AGE 3.2 grid (in Myr)
Col 11: ID for each seamount (plate_###)
For explanation of modeling and notations, please see our GJI paper

Longitude	Latitude	Azimuth	Major	Minor	Height	FAA	VGG	Depth	CrustAge	ID
-16.09200	00.23223	64.7	20.7	7.2	498.4	72.3	71.0	-3574.4	23.9	KW-00196
-15.89275	-00.76673	5.5	18.1	13.4	840.4	67.1	63.5	-3104.8	0.4	KW-00197
-16.31492	-00.05953	84.8	12.3	6.0	444.2	61.8	49.3	-3161.3	1.1	KW-00198
-15.89781	00.05790	-49.1	11.7	8.5	468.8	66.1	63.4	-3453.8	22.6	KW-00199
-15.83050	-01.01913	-16.6	16.4	7.1	563.6	68.7	55.1	-2655.9	0.4	KW-00200
-15.41873	-01.22049	-62.1	12.9	7.1	356.2	53.1	57.0	-3370.4	0.7	KW-00201
-14.80726	-00.92777	-62.4	26.7	13.8	450.5	47.0	50.7	-3699.2	5.5	KW-00202
-15.29798	00.21888	-35.2	8.5	7.1	344.4	40.0	46.0	-3841.1	42.0	KW-00203
-15.23943	-00.23490	-3.7	23.8	15.9	480.5	54.6	41.1	-3370.1	6.5	KW-00204
-14.67504	-00.05825	-4.3	23.9	10.3	636.2	45.2	42.0	-4032.7	10.3	KW-00205
-15.59551	-00.12948	8.7	11.6	9.5	212.7	41.8	33.8	-3407.5	4.6	KW-00206
-24.76600	00.13960	-30.0	10.4	7.3	609.2	75.6	85.4	-2669.7	1.0	KW-00207
-24.63595	00.34424	-68.6	32.8	18.5	958.6	77.1	60.6	-3234.3	2.1	KW-00208
-24.73210	00.51401	-17.2	17.4	15.5	753.8	41.2	52.4	-3345.4	2.4	KW-00209
-24.31467	00.12919	86.1	7.5	6.2	314.6	45.7	53.8	-3135.4	3.7	KW-00210
-24.14775	00.46948	-69.4	32.5	21.9	923.1	45.9	41.4	-3846.4	5.3	KW-00211
-24.53199	-00.36566	62.2	12.4	7.3	375.3	63.3	41.8	-2712.6	1.7	KW-00212
